                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.016,                  5.676,                 1.2476,                      0,                      0,                      0,                      0,                0.93728,                  5.969,                  1.083,             8.8977e-06,             8.8977e-06,             8.8977e-06
                      2,                0.93284,                 5.6461,                 1.1898,                      0,                      0,                      0,                      0,                0.93677,                 5.8537,                 1.0808,             1.7625e-05,             1.7625e-05,             1.7625e-05
                      3,                0.85583,                 5.5544,                 1.1482,                      0,                      0,                      0,                      0,                 0.9118,                 5.7528,                 1.0615,             2.6078e-05,             2.6078e-05,             2.6078e-05
                      4,                0.83214,                 5.4879,                 1.1283,                      0,                      0,                      0,                      0,                0.90196,                 5.6238,                 1.0499,             2.5766e-05,             2.5766e-05,             2.5766e-05
                      5,                0.80632,                 5.3667,                 1.1156,                0.00696,                0.01959,                0.00645,                0.00412,                0.90638,                 5.4587,                 1.0574,             2.5355e-05,             2.5355e-05,             2.5355e-05
                      6,                0.79107,                 5.2449,                 1.1066,                0.00806,                0.06049,                0.01332,                0.00798,                 0.9315,                 5.2966,                  1.085,             2.4944e-05,             2.4944e-05,             2.4944e-05
                      7,                0.79593,                 5.1855,                 1.1179,                0.00655,                0.06829,                0.01707,                0.01056,                0.92874,                 5.2386,                 1.0934,             2.4533e-05,             2.4533e-05,             2.4533e-05
                      8,                0.74909,                  5.079,                 1.0989,                0.00971,                0.09147,                0.01957,                0.01249,                0.92559,                 5.1459,                 1.0879,             2.4121e-05,             2.4121e-05,             2.4121e-05
                      9,                0.79453,                 5.0307,                 1.1224,                  0.408,                0.01943,                0.02248,                0.01508,                0.93302,                 5.0955,                  1.098,              2.371e-05,              2.371e-05,              2.371e-05
                     10,                0.75991,                 4.9391,                 1.1132,                0.38468,                0.02448,                0.02386,                0.01435,                0.92488,                 5.0496,                  1.101,             2.3299e-05,             2.3299e-05,             2.3299e-05
                     11,                0.75108,                 4.8949,                 1.1076,                0.33538,                0.02486,                0.02605,                0.01819,                0.91732,                 4.9894,                 1.0928,             2.2888e-05,             2.2888e-05,             2.2888e-05
                     12,                0.75994,                 4.8255,                 1.1095,                0.32657,                0.03249,                0.03783,                0.02729,                0.89951,                 4.9374,                 1.0878,             2.2476e-05,             2.2476e-05,             2.2476e-05
                     13,                0.76594,                 4.8255,                 1.1059,                 0.3242,                0.03409,                0.03625,                 0.0272,                0.89993,                 4.9032,                 1.0913,             2.2065e-05,             2.2065e-05,             2.2065e-05
                     14,                0.75996,                 4.7674,                 1.1035,                0.32685,                0.03242,                0.04187,                0.02945,                0.89622,                 4.8841,                 1.0879,             2.1654e-05,             2.1654e-05,             2.1654e-05
                     15,                0.75542,                 4.7245,                 1.1237,                0.31068,                0.03704,                0.04743,                0.03163,                0.89212,                 4.8588,                 1.0833,             2.1243e-05,             2.1243e-05,             2.1243e-05
